Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
FUCA1,0.40540772995360597,0.8267970703606821,0.4108,0.83
PNRC2,0.44680571302505323,0.26648895978570303,0.4545,0.2597
SRSF10,0.9237914605770652,0.14153926692577712,0.9239,0.1442
MYOM3,0.5851519677536972,0.2710841079465413,0.6518,0.3211
IL28RA,0.9184361161418721,0.18521355938570863,0.9168,0.1859
GRHL3,0.40663802824767203,0.942382477581932,0.4203,0.9471
C1orf201,0.3931098617596558,0.22791714071855104,0.4006,0.2325
NIPAL3,0.007308096490312793,0.537734978362661,0.0078,0.5354
RCAN3,0.9019249138426098,0.6809389039599589,0.9028,0.6799
C1orf130,0.2883441797456369,0.004105812037072876,0.2964,0.003
SRRM1,0.3451662474489239,0.1872487304721087,0.3524,0.1988
CLIC4,0.2859010772989066,0.35523166281291163,0.2849,0.3479
RUNX3,0.05906849650431191,0.1418818664626656,0.0534,0.1303
SYF2,0.9768549805306801,0.5241299605376908,0.9776,0.5364
C1orf63,0.5448148998280404,0.07488046843027268,0.5423,0.079
TMEM50A,0.8183381906507156,0.9192183336036207,0.8156,0.9208
RHCE,0.7547608717344082,0.8058078458412737,0.7549,0.7986
TMEM57,0.9262747805027751,0.016493444757168473,0.9302,0.016
LDLRAP1,0.8738940916465155,0.11238717895205415,0.8724,0.1157
MAN1C1,0.7462225170919461,0.87273142221458,0.7529,0.8744
SEPN1,0.09256251082469202,0.6640846923957349,0.0955,0.6752
FAM54B,0.321438100435284,0.8248078061915649,0.3116,0.8323
C1orf135,0.40193257386053305,0.3856642694660949,0.449,0.4026
PAQR7,0.3401634453085838,0.03270771945323304,0.3393,0.0363
STMN1,0.7177272072942471,0.23360180757294738,0.7162,0.2344
PAFAH2,0.149732483707825,0.42655155045632476,0.1538,0.4202
EXTL1,0.077900594099707,1.0870463410084727e-07,0.0807,0.0001
SLC30A2,0.003712368217382146,0.26893747765684056,0.0035,0.2728
TRIM63,0.18185957008553452,0.29354353983964243,0.1734,0.2954
PDIK1L,0.21909455016518517,0.727107872609791,0.2197,0.73
GRRP1,0.12599155982544716,0.03273724155424134,0.1269,0.0335
ZNF593,0.9674396690804975,0.6883287763196035,0.9694,0.687
CNKSR1,0.17011550568142406,0.13056531718891431,0.1656,0.1404
CEP85,0.49152942788070497,0.049237168553697606,0.4931,0.0478
SH3BGRL3,0.2952148342407011,2.679372952124655e-05,0.2938,0.0001
UBXN11,0.09177058738204845,0.5271099289447548,0.0973,0.5327
CD52,0.656702590183563,0.0036023211081888055,0.6645,0.0011
AIM1L,0.21527407932599016,4.195377385456075e-05,0.2212,0.0001
ZNF683,0.0005458992148034744,0.06804496548713056,0.0002,0.0504
DHDDS,0.23875197119759944,0.006411982992825174,0.2374,0.0047
HMGN2,0.9616322553967407,0.3622357494887565,0.9612,0.3711
RPS6KA1,0.04668211960687673,0.2784015602320695,0.045,0.2846
ARID1A,0.8039535747992823,0.5855330932925364,0.8007,0.5916
PIGV,0.693390325727255,0.9745209640052802,0.6864,0.9744
ZDHHC18,0.8855789896467943,0.1312903626656678,0.8906,0.1337
SFN,0.8339055158748613,0.2534194210524602,0.8356,0.2404
GPN2,0.6516284276392318,0.19442959761720935,0.6599,0.1926
GPATCH3,0.5005039620682811,0.6500220885567236,0.506,0.6577
NUDC,0.31870839218837554,0.5963218302811597,0.32,0.6041
C1orf172,0.8332376621106438,0.09961656113199997,0.832,0.0986
TRNP1,0.5582016945842192,1.3550057022477405e-05,0.5689,0.0001
FAM46B,0.8309903009591282,0.0629673296887762,0.8261,0.0693
SLC9A1,0.43905036720409873,0.6040129625370674,0.4368,0.5993
WDTC1,0.5271204836144805,0.23382063543009463,0.5252,0.2526
TMEM222,0.3367503822678066,0.6673249038169211,0.3426,0.6703
LOC644961,0.873517801203713,0.758396176597791,0.8754,0.7594
SYTL1,0.08347480379853277,0.1500307900299612,0.0849,0.1565
MAP3K6,0.5924338217255182,0.2775116586127674,0.5948,0.2761
FCN3,0.3141302384268895,0.08424541886439563,0.3112,0.0902
CD164L2,0.9028123337317464,1.002085445614775e-06,0.9074,0.0001
GPR3,0.2386477627283666,0.2795921112065834,0.2397,0.2756
WASF2,0.6999353705640904,0.4608851690624971,0.7057,0.4673
AHDC1,0.1500614800855448,0.08557876515913992,0.1468,0.0914
FGR,0.8270617696660159,0.10056423653187636,0.822,0.1055
IFI6,0.5657432083827276,0.0033389080518955445,0.5678,0.0001
FAM76A,0.56918490210492,0.8396230539339169,0.5781,0.836
STX12,0.9650095744144769,0.13495895109192332,0.9624,0.1369
PPP1R8,0.7980003383662676,0.916617561169754,0.8051,0.916
SCARNA1,0.9661165969638535,0.18989467032408838,0.9638,0.2089
C1orf38,0.31378257935777776,0.03300015471324439,0.3079,0.0275
RPA2,0.5010319893958216,0.5642088294715489,0.5052,0.5649
SMPDL3B,0.03859009705151004,0.13960582656479792,0.04,0.1326
XKR8,0.8724357398767102,0.6314650556243709,0.8741,0.6261
EYA3,0.8048089532757214,0.855550958353387,0.8078,0.8548
LOC653566,0.36234649213216263,0.591920378374234,0.3846,0.6092
PTAFR,0.956945121260689,0.04676165000332918,0.9593,0.0429
DNAJC8,0.48141371613070627,0.2815349082219743,0.4808,0.2807
ATPIF1,0.4893713662956354,0.5319156691909637,0.4906,0.5301
SESN2,0.5951406298891615,0.717998564478099,0.5914,0.7172
MED18,0.13369995090228848,0.8610201267899665,0.1368,0.8653
PHACTR4,0.972386753811413,0.7221806284556886,0.9739,0.7179
RCC1,0.812076351146346,0.07304321050386525,0.8139,0.0642
TRNAU1AP,0.7593591457111074,0.18569164658689777,0.7551,0.1912
SNHG12,0.20036361260906066,0.9740501017752848,0.1986,0.9755
SNORD99,0.23261608596370448,0.5733367587097833,0.2335,0.5751
SNORA44,0.14067392809845214,0.35542551793322574,0.1416,0.4399
SNORA16A,0.5787884776497888,0.8707491508724755,0.6185,0.8741
TAF12,0.3674597354716128,0.4554182894628528,0.3641,0.4539
RNU11,0.5368993810980645,0.38056491431470096,0.528,0.3835
GMEB1,0.3037839373433609,0.7529423663365353,0.3056,0.7499
YTHDF2,0.7060344004028501,0.2851729114701944,0.7105,0.2924
EPB41,0.7303012011532867,0.36008137848190014,0.7356,0.3645
TMEM200B,0.23843363715485166,0.5294095598373246,0.2386,0.5289
SRSF4,0.2649948655193614,0.41254338554124537,0.2593,0.3966
MECR,0.9703339949662227,0.8373630057197587,0.9721,0.8437
PTPRU,0.39303151685323856,0.49582091306777176,0.394,0.4977
LOC100129196,0.3781975177217649,0.9227965416090668,0.389,0.9217
LAPTM5,0.7322894201615722,3.338862604839264e-05,0.7329,0.0001
SDC3,0.6947357974835042,0.008773377557541182,0.69,0.0108
PUM1,0.5660866305359442,0.07530325931451415,0.5809,0.0821
NKAIN1,0.04658523268326195,0.00615194523420331,0.0469,0.0024
SNRNP40,0.6599320287507785,0.9066903534642446,0.6628,0.9106
ZCCHC17,0.9929801755628753,0.1407773098822003,0.995,0.1438
FABP3,0.07947265339915831,0.13317319142997325,0.0566,0.1408
SERINC2,0.09728302729249992,0.11540207266850054,0.0978,0.1119
TINAGL1,0.2272228511312556,0.0021797836420494807,0.2346,0.0028
PEF1,0.8021157927521403,0.1805775726960163,0.7988,0.1773
COL16A1,0.8186379634184089,0.996801191210094,0.8169,0.9966
BAI2,0.002003071543465035,0.35550825192817637,0.0022,0.342
SPOCD1,0.07524464405826013,0.001955398438871786,0.0754,0.0005
PTP4A2,0.49847147494200317,0.02001179195488779,0.5112,0.0192
KHDRBS1,0.5025381377395319,0.8360113229839956,0.4982,0.8334
TMEM39B,0.9181617419022703,0.5621252196939612,0.9222,0.5643
KPNA6,0.7987220136244242,0.2672944408988126,0.7986,0.2658
TXLNA,0.42219198694585125,0.01336873093133472,0.4268,0.0123
CCDC28B,0.6708538885825783,0.04383182858446664,0.6673,0.04
IQCC,0.20073254733857349,0.31277474443075315,0.1928,0.3026
DCDC2B,0.4157534428388181,0.47405751400586327,0.4215,0.47
TMEM234,0.5153545669177879,0.3229575183626122,0.5214,0.3286
EIF3I,0.6970158288677545,0.5942015902656634,0.7032,0.5859
MTMR9LP,0.6254462408804535,0.2287425346013481,0.6288,0.2344
FAM167B,0.1338129340464555,0.4201999100014323,0.1412,0.4212
LCK,0.029529968913213602,0.003394666610982559,0.0297,0.0028
HDAC1,0.43325146972383155,0.3743543919749406,0.4371,0.3658
MARCKSL1,0.061550234916949456,0.026283850719370488,0.0599,0.0199
LOC100128071,0.0701705607696715,0.05447909543045937,0.0703,0.0552
TSSK3,0.7229196028115294,0.7496066072898471,0.7284,0.7622
